Varenummer;navn;poeng
10634501;Sandhi Sta Rita Hills Pinot Noir 2016;90
10440901;Land of Saints Chardonnay 2016;90
10445101;Ogereau Cos le Grand Beaupréau Savenniéres 2016;90
10510401;Dom. Des Marrans Fleurie Clos du Pavillon 2015;90
10511701;OMA Etna Rosso;90
10463601;Blain Côte de Brouilly Les Jumeaux 2016;90
10468601;Pierre-Marie Chermette Fleurie Les Garants 2017;90
7345301;Schloss Neuweier Schlossberg Riesling Trocken Erste Lage 2015;90
7345901;Monopole Blanco Seco 2015;90
5950301;Begali Lorenzo Amarone della Valpolicella Classico 2014;90
5994601;Pala Essentija Bovale 2014;90
5790901;Sesti Rosso di Montalcino 2016;90
10064201;Les Bêtes Curieuses Ch.-Thébaud 2012;90
10064701;Les Bêtes Curieuses Gorges 2013;90
10078201;Dyre Gård Discovery Eplemost;90
10083001;Lapeyre Vitatge Vielh Jurançon Sec 2013;90
10660601;Kranz Riesling Vom Kalk 2017;90
10663701;Jean-François Quénard Les 2 Jean Persan 2017;90
10668501;Walters Spätburgunder 2014;90
10687801;Ch. de Mérande Apremont 1248 Savoie 2017;90
10536001;Kruger-Rumpf Im Pitterberg Riesling Kabinett 2018;90
10620601;Eva Fricke Riesling;90
10624101;Héritiers du Comte Lafon Mâcon-Milly-Lamartine;90
10625001;Dom. des Enfants l'Enfant Perdu;90
10628701;Marnes Blanches Savagnin En Quatre Vis 2018;90
10630101;Dr. Loosen Graacher Himmelreich Riesling GG 2017;90
10630201;Dr. Loosen Graacher Domprobst Riesling GG 2017;90
10630401;Marnes Blanches Les Molates Chardonnay 2018;90
10634501;Sandhi Sta Rita Hills Pinot Noir 2016;90
10800101;Olivier Rivière La Bastid Rioja Blanco 2018;90
10804301;Lethbridge Que Syrah Syrah;90
10806001;Señorío de Otazu 2010;90
10813402;Allram Gelber Muskateller Beerenauslese;90
10510401;Dom. Des Marrans Fleurie Clos du Pavillon 2015;90
10511701;OMA Etna Rosso;90
9419701;Cune Gran Reserva 2011;90
9629701;Colomé Estate Malbec 2016;90
10136601;A. Thévenet Morgon Vieilles-Vignes;90
10151101;B Vintners Reservoir Road Pinot Noir;90
10151701;Blankbottle Little William;90
10155601;El Hombre Bala 2015;90
10159102;Lindheim Cider Spontan;90
10165101;Pepe Raventós Vinya del Mas Ancestral;90
10101601;La Manufacture Benjamin Laroche Chablis 2016;90
10107801;Pago de los Capellanes Crianza 2016;90
10109301;Vacheron Le Rosé XVII;90
10112901;Fosse-Sèche Arcane Saumur Blanc 2017;90
9678101;Principiano Le Coste Langhe Nebbiolo 2017;90
9373101;Villa di Capezzana Carmignano 2013;90
9384901;Alain Brumont Ch. Montus 2014;90
11134401;Allram Heiligenstein Erste Lage Riesling 2018;90
10980401;Mesquida Mora Acrollam Blanc;90
11007801;Romain Reverdy Florilège Rosé 2018;90
11008101;Arnaud Lambert Clos Tue-Loup Saumur Rouge 2016;90
10221401;Josmeyer Le Kottabe Riesling 2017;90
10227801;Terras de Lantaño Albariño 2017;90
10228601;Müller-Catoir Haardt Riesling 2017;90
10230601;Maximin Grünhaus Monopol Riesling 2018;90
10244501;Dom. Agapé Grand Cru Rosacker Riesling 2016;90
10245501;Valdrinal Tradición Crianza 2014;90
10265601;Strauch Riesling 40 Monate Extra Brut 2013;90
10267501;Contra Soarda Terre di Lava Breganze Rosso Riserva 2013;90
11051001;Jean-Charles Fagot Auxey-Duresses Les Ruchottes 2017;90
11066901;Rocher des Violettes Montlouis Touche-Mitaine 2017;90
11072101;Saillard Lucky You;90
11097201;Dom. des Gandines Crémant de Bourgogne;90
10829701;Fedellos do Couto Lomba dos Ares 2017;90
10837102;Bod. Ximenez Spinola Cosecha 2017;90
10874301;Philippe Gilbert L'Emoustillant Rosé 2017;90
10875901;K. Descombes Morgon Vieilles Vignes 2016;90
10897001;Recanati Carignan Reserve;90
10904901;Pittnauer Perfect Day 2018;90
10909501;Willems-Willems Herrenberg Riesling trocken 2016;90
10911501;Biondi Etna Outis Bianco 2017;90
10970001;Dom. Les Capréoles Regnie Chamodère 2017;90
10973301;Anders Frederik Steen Pure magique pas des chimiques;90
10973701;Jordi Llorens Ancestral de la Cristina;90
11104001;Solhøi Flytende Solskinn sider 2018;90
11194801;Marañones Garnacha 2016;90
11199701;Borja Pérez Artifice Tinto 2017;90
11233001;Les Vignes Oubliées Terrasses du Larzac 2017;90
11257201;Dom. Lombard Brézème Côtes du Rhône Eugène de Monicault;90
2157401;Zorzal Eggo Filoso Pinot;89
7107701;Peter & Paul Riesling 2017;89
6887601;Patrice Rion Bourgogne Les Bons Bâtons Rouge 2016;89
3073001;Daniel Landi Las Uvas de la Ira 2017;89
3170001;Ostertag Pinot Gris Les Jardins 2017;89
3185101;Tribut Chablis 2016;89
3203901;Merlin Mâcon La Roche Vineuse Vieilles Vignes 2016;89
3247001;Clos de l'Hermitage 2014;89
3291901;Ravenswood Napa Valley Zinfandel 2014;89
3310801;Feudi di San Gregorio Fiano di Avellino 2015;89
3316801;Conterno-Fantino Bricco Bastia Dolcetto d'Alba 2016;89
