varenummer;poeng;konklusjon;argang_apreritif;smakt;url_aperitif
9172901;87;En tørr og frisk vin som tåler 6-7 år. Smakt som normalflaske. Godt kjøp.;2014;  8. september 2017;https://www.aperitif.no/pollisten/produkt/giacosa-fratelli-barbaresco-basarin-2015/313409
9180701;87;En sødmefylt men også fyldig riesling som tåler 6-7 år. Godt kjøp.;2016;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/gustave-lorentz-burg-riesling-2015/1949618
9182701;87;En flott vin for de neste fire årene. Meget godt kjøp. (2011) ;NA; 28. februar 2013;https://www.aperitif.no/pollisten/produkt/winter-dittelsheimer-steinwein-riesling-trocken-2018/241572
9187401;87;En smaksrik rose som tåler 2-3 år. Meget godt kjøp.;2018; 25. april 2019;https://www.aperitif.no/pollisten/produkt/joseph-mellot-le-rabault-rose-sancerre-2018/241482
9188501;87;En veldig god vin for de neste tre årene. Meget godt kjøp. (2009) ;2009; 28. april 2011;https://www.aperitif.no/pollisten/produkt/wagner-stempel-siefersheim-silvaner-trocken-2017/241570
9196001;87;En tørr og strukturert St Veran som tåler 6-7 år. Godt kjøp.;2017;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/deux-roches-saint-veran-vieilles-vignes-2017/312233
10239101;87;En god dolcetto som er betydelig bedre enn forrige årgang. Godt kjøp.;2017; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/famiglia-berta-livroje-dolcetto-d-asti-2017/2141575
10244101;87;En smaksrik vin som er moden nå men som tåler 3-4 år. Godt kjøp.;2015; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/chavet-menetou-salon-cuvee-exception-blanc-2017/2141592
10244201;87;En fortsatt ung og fast Loire-pinot noir som tåler 5-6 år. Godt kjøp.;2015; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/chavet-menetou-salon-cuvee-exception-rouge-2015/2141593
10248001;87;En god og struktuert rimelig burgunder som tåler 6-7 år. Godt kjøp.;2016; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/les-heritiers-saint-genys-hautes-cotes-de-beaune-rouge-2016/2141614
10248401;87;En god og ren santenay som tåler 4-5 år. Godt kjøp.;2015; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/les-heritiers-saint-genys-santenay-rouge-2015/2141618
10248701;87;En veldig god salento-chardonnay-miks som tåler 5-6 år. Godt kjøp.;2017; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/vetrere-laureato-bianco-2017/2141621
10257801;87;En smaksrik pinot som tåler 6-7 år. Godt kjøp.;2017; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/ch-melin-maranges-1er-cru-2017/2140535
10264601;87;En flott 10 år gammel toscansk rødvin som tåler mange år fortsatt. Meget godt kjøp.;2009; 16. september 2019;https://www.aperitif.no/pollisten/produkt/villa-cavallo/2140376
10266501;87;En herlig tørr riesling som tåler 4-5 år. Meget godt kjøp.;2018;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/der-wilde-wild-wild-white-trocken-2018/2140458
10267301;87;En tørr og syrlig hvitvin som tåler 4-5 år. Godt kjøp.;2018;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/contra-soarda-breganze-vespaiolo-doc-2018/2140127
10268001;87;En god og litt sødmefylt riesling som tåler 4-5 år. Meget godt kjøp.;2017; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/boundary-breaks-riesling-reserve-no-198-2017/2140461
10274101;87;En litt sødmefylt men solid pinot som tåler 8 år. Godt kjøp.;2016; 15. september 2018;https://www.aperitif.no/pollisten/produkt/meix-foulot-mercurey-2016/2141687
10275001;87;En herlig frisk aligote som tåler 6-7 år. Meget godt kjøp.;2017; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/roux-bourgogne-aligote-2017/2140347
10281601;87;En litt spesiell sauvignon som er svært rik og som tåler 5-6 år. Godt kjøp.;2016; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/walter-hansel-gaddy-lane-sauvignon-blanc-2016/2140271
10282401;87;En ung og jordsmonnspreget barolo som tåler 7-8 år. Godt kjøp.;2013; 15. september 2018;https://www.aperitif.no/pollisten/produkt/carretta-barolo-cascina-ferrero/2151843
10291701;87;En leskende og god tørr Almansa-vin som tåler 5-6 år. Godt kjøp.;2018; 16. september 2019;https://www.aperitif.no/pollisten/produkt/envinate-albahra/2140146
10292301;87;En artig aligote som tåler 6-7 år. Godt kjøp.;2016; 15. september 2018;https://www.aperitif.no/pollisten/produkt/bourgogne-aligote-2016/2141729
9240901;87;En klassisk Provence-rose. Tåler 2-3 år. Meget godt kjøp.;2018;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/ch-la-mascaronne-2018/253931
9293601;87;En god og mineralsk vin som tåler 4-5 år. Godt kjøp.;2017; 15. mars 2018;https://www.aperitif.no/pollisten/produkt/de-wetshof-limestone-hill-chardonnay-2017/313554
9344901;87;En moden og småelegant vin som tåler 5-6 år. Godt kjøp.;2015; 15. august 2017;https://www.aperitif.no/pollisten/produkt/landgraf-saulheimer-schlossberg-riesling-trocken-2015/312504
9346301;87;En morsom søt perlende vin som tåler 3-4 år. Meget godt kjøp.;2016;  7. mars 2017;https://www.aperitif.no/pollisten/produkt/massa-anarchia-2016/300548
9346401;87;En solid litt tørr barbera som tåler 6-7 år. Godt kjøp.;2017;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/la-ganghija-barbera-d-alba-2017/313636
9352501;87;En god litt bittter, men lovende vin som tåler 4-5 år. Godt kjøp.;2016; 15. mars 2018;https://www.aperitif.no/pollisten/produkt/wieninger-nussberg-riesling-2016/313571
9352601;87;En artig vin som tåler 4-5 år. Godt kjøp.;2017; 15. mars 2018;https://www.aperitif.no/pollisten/produkt/sattlerhof-gamlitz-muskateller-2018/254294
8347201;87;En god og fruktig rødvin som tåler 3-4 år. Godt kjøp.;2016;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/allram-st-laurent-ried-gaisberg-reserve/2119243
8348501;87;En artig vin som tåler 4-5 år. Meget godt kjøp.;2016; 15. mars 2018;https://www.aperitif.no/pollisten/produkt/enio-ottaviani-caciara-2016/2119154
8348801;87;En god og syrefrisk chardonnay som tåler 5-6 år. Godt kjøp.;2018;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/la-ganghija-langhe-chardonnay-2018/2119651
10132202;87;Perfekt å erstatte cavaen med denne cideren i sommer. Leskende og digg.;2017; 28. juni 2018;https://www.aperitif.no/pollisten/produkt/sider-fra-hardanger/2130184
10136801;87;En god og bløt vin som tåler 4-5 år. Godt kjøp.;2017; 12. juni 2018;https://www.aperitif.no/pollisten/produkt/carinus-syrah/2130201
10145201;87;En god og smaksrik valpolicella som tåler 6-7 år. Godt kjøp.;2016;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/marchesa-mariabella-ripasso/2165680
10150801;87;En god og bløt vin som tåler 5-6 år. Meget godt kjøp.;2017; 12. juni 2018;https://www.aperitif.no/pollisten/produkt/natte-valleij-cinsault/2130243
10152001;87;En god cab franc som tåler 5-6 år. Godt kjøp.;2017;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/narrative-cabernet-franc/2140217
10152501;87;En litt eiket hvitvin som tåler 6-7 år. Godt kjøp.;2018;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/kottabos-chenin-blanc/2130259
10353101;87;En nydelig 16 år gammel bordeaux som tåler 10 år til. Meget godt kjøp.;2002; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/ch-maucamps-2002/2140341
10356801;87;En klassisk bordeauxstil som tåler 5-6 år. Meget godt kjøp.;2015; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/ch-grenet/2141253
10356901;87;En solid cab i denne prisklassen som tåler 5-6 år. Meget godt kjøp.;2016; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/s-c-le-cabernet-saugvignon-de-grenet/2141252
10359501;87;En veldig ung og lovende vin som tåler 6-7 år. Meget godt kjøp.;2017; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/corte-sant-alda-soave/2141251
10360101;87;En kul og annerledes vermentino som tåler 6-7 år. Godt kjøp.;2017; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/pusole-bianco-2017/2140183
10360201;87;En god vin som tåler 5-6 år. Godt kjøp.;2015; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/setteporte-etna-rosso-2015/2140184
10362401;87;En god og smaksrik cabernet som tåler 5-6 år. Godt kjøp.;2016;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/starmont-cabernet-sauvignon-2016/2140433
10365001;87;En god og fast pinot som er mer harmonisk enn 2015 og som tåler 6-7 år. Godt kjøp.;2017;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/50th-parallel-estate-pinot-noir-2016/2152362
10375501;87;En god og syrefrisk vin som tåler 5-6 år. Godt kjøp.;2015; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/wageck-spatburgunder-tertiar/2140363
9777101;87;En herlig fruktig rose som tåler 2-3 år. Meget godt kjøp.;2018;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/ch-de-roquefort-corail-2018/278471
9791401;87;En frisk og god vin som tåler 3. Meget godt kjøp.;2013;  1. november 2015;https://www.aperitif.no/pollisten/produkt/vasse-felix-sauvignon-blanc-semillon-2015/314826
9791501;87;En god og moden vin som tåler 4-5 år. Godt kjøp.;2011; 26. januar 2017;https://www.aperitif.no/pollisten/produkt/pewsey-vale-contours-riesling-2011/314868
9805801;87;En god og tørr Macon som tåler 4-5 år. Godt kjøp.;2017;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/bret-brothers-macon-chardonnay-2017/318236
9821501;87;En herlig rosa musserende som tåler 4-5 år. Meget godt kjøp.;NA; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/andre-et-mireille-tissot-cremant-du-jura-rose/294890
9845401;87;En deilig vin som tåler 5-6 år. Meget godt kjøp.;2016; 14. januar 2019;https://www.aperitif.no/pollisten/produkt/villa-ponciago-la-reserve-fleurie-2015/314938
10165201;87;En herlig xarel-lo uten bobler som tåler 4-5 år. Godt kjøp.;2018;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/can-sumoi-xarell-o/2130345
9212701;87;En god og mineralsk custoza som tåler 4-5 år. Meget godt kjøp.;2017; 16. september 2019;https://www.aperitif.no/pollisten/produkt/monte-del-fra-ca-del-magro-custoza-superiore-2017/302434
10305501;87;En herlig slank syrah/shiraz som tåler 4-5 år. Meget godt kjøp.;2016; 30. august 2018;https://www.aperitif.no/pollisten/produkt/left-field-hawkes-bay-syrah-2016/2140354
