varenummer;order_to_store
  222501;Utsolgt i alle butikker - kan ikke bestilles
  222606;Kan bestilles til alle butikker
  233701;Kan bestilles til alle butikker
  233702;Kan bestilles til alle butikker
  241802;Utsolgt i alle butikker - kan ikke bestilles
  242801;Kan bestilles til alle butikker
  242901;Kan bestilles til alle butikker
  243401;Kan bestilles til alle butikker
  243601;Kan bestilles til alle butikker
  243901;Kan bestilles til alle butikker
  244201;Utsolgt i alle butikker - kan ikke bestilles
  244506;Kan bestilles til alle butikker
  254101;Kan kjøpes i butikk med varen på lager
  254501;Kan bestilles til alle butikker
  254502;Kan bestilles til alle butikker
  254506;Kan bestilles til alle butikker
  256901;Kan kjøpes i butikk med varen på lager
  257201;Kan bestilles til alle butikker
  257301;Kan kjøpes i butikk med varen på lager
  258101;Kan kjøpes i butikk med varen på lager
  258201;Kan bestilles til alle butikker
  258501;Kan bestilles til alle butikker
  258801;Kan bestilles til alle butikker
  260501;Kan bestilles til alle butikker
  260502;Kan bestilles til alle butikker
  262202;Kan kjøpes i butikk med varen på lager
  264201;Kan bestilles til alle butikker
  264701;Kan bestilles til alle butikker
  267001;Kan bestilles til alle butikker
  267201;Utsolgt i alle butikker - kan ikke bestilles
  267301;Kan bestilles til alle butikker
  267401;Kan bestilles til alle butikker
  267502;Kan bestilles til alle butikker
  271601;Kan bestilles til alle butikker
  271801;Kan bestilles til alle butikker
  272605;Kan bestilles til alle butikker
  272901;Kan bestilles til alle butikker
  273605;Utsolgt i alle butikker - kan ikke bestilles
  274701;Kan bestilles til alle butikker
  276101;Kan bestilles til alle butikker
  277901;Kan bestilles til alle butikker
  277902;Kan bestilles til alle butikker
  279201;Kan bestilles til alle butikker
  279202;Kan bestilles til alle butikker
  279205;Kan bestilles til alle butikker
  279301;Kan bestilles til alle butikker
  281801;Kan bestilles til alle butikker
  281901;Utsolgt i alle butikker - kan ikke bestilles
  282001;Kan bestilles til alle butikker
  282101;Kan bestilles til alle butikker
  282501;Kan bestilles til alle butikker
  282502;Kan bestilles til alle butikker
  282601;Kan bestilles til alle butikker
  283101;Kan bestilles til alle butikker
  283801;Kan bestilles til alle butikker
  283805;Kan bestilles til alle butikker
  285101;Kan bestilles til alle butikker
  285105;Kan bestilles til alle butikker
  285201;Kan bestilles til alle butikker
  286601;Kan bestilles til alle butikker
  287401;Kan bestilles til alle butikker
  287601;Kan bestilles til alle butikker
  288001;Kan bestilles til alle butikker
  288201;Kan bestilles til alle butikker
  288701;Kan bestilles til alle butikker
  289501;Kan bestilles til alle butikker
  290904;Kan bestilles til alle butikker
  292701;Kan bestilles til alle butikker
  293401;Utsolgt i alle butikker - kan ikke bestilles
  293601;Utsolgt i alle butikker - kan ikke bestilles
  294201;Kan bestilles til alle butikker
  295001;Kan bestilles til alle butikker
  295101;Kan bestilles til alle butikker
  295301;Kan bestilles til alle butikker
  295302;Kan bestilles til alle butikker
  295306;Kan bestilles til alle butikker
  295501;Kan bestilles til alle butikker
  295601;Kan bestilles til alle butikker
  295602;Kan bestilles til alle butikker
  295801;Kan bestilles til alle butikker
  296001;Kan bestilles til alle butikker
  299101;Kan bestilles til alle butikker
  299201;Kan bestilles til alle butikker
  299401;Kan bestilles til alle butikker
  299601;Kan bestilles til alle butikker
  308101;Kan bestilles til alle butikker
  308401;Kan kjøpes i butikk med varen på lager
  308901;Kan bestilles til alle butikker
  309001;Kan bestilles til alle butikker
  310201;Utsolgt i alle butikker - kan ikke bestilles
  310301;Kan bestilles til alle butikker
  311701;Kan bestilles til alle butikker
  312101;Kan bestilles til alle butikker
  312501;Kan kjøpes i butikk med varen på lager
  312601;Kan bestilles til alle butikker
  312901;Kan bestilles til alle butikker
  313601;Kan kjøpes i butikk med varen på lager
  314101;Kan bestilles til alle butikker
  315201;Kan bestilles til alle butikker
  316301;Kan bestilles til alle butikker
  316501;Kan kjøpes i butikk med varen på lager
  318801;Kan bestilles til alle butikker
  318901;Kan bestilles til alle butikker
  319002;Kan bestilles til alle butikker
  319301;Kan kjøpes i butikk med varen på lager
  319701;Kan bestilles til alle butikker
  320501;Kan bestilles til alle butikker
  320701;Kan bestilles til alle butikker
  320801;Kan bestilles til alle butikker
  324604;Kan bestilles til alle butikker
  325401;Kan bestilles til alle butikker
  325801;Kan bestilles til alle butikker
  326001;Utsolgt i alle butikker - kan ikke bestilles
  331601;Kan bestilles til alle butikker
  331605;Kan bestilles til alle butikker
  333901;Kan bestilles til alle butikker
  333902;Kan bestilles til alle butikker
  333905;Kan bestilles til alle butikker
  334201;Kan bestilles til alle butikker
  334401;Kan bestilles til alle butikker
  342101;Kan bestilles til alle butikker
  344401;Kan bestilles til alle butikker
  345201;Kan bestilles til alle butikker
  345501;Kan bestilles til alle butikker
  346001;Kan bestilles til alle butikker
  346301;Kan kjøpes i butikk med varen på lager
  346401;Kan bestilles til alle butikker
  347201;Kan bestilles til alle butikker
  352501;Kan kjøpes i butikk med varen på lager
  352601;Kan bestilles til alle butikker
  353401;Kan bestilles til alle butikker
  353901;Kan bestilles til alle butikker
  355101;Kan bestilles til alle butikker
  355801;Kan bestilles til alle butikker
  356501;Kan bestilles til alle butikker
  356901;Kan bestilles til alle butikker
  358301;Kan bestilles til alle butikker
  358302;Kan bestilles til alle butikker
  360901;Kan bestilles til alle butikker
  360905;Kan bestilles til alle butikker
  365006;Utsolgt i alle butikker - kan ikke bestilles
  367101;Kan bestilles til alle butikker
  370601;Kan bestilles til alle butikker
  371301;Kan bestilles til alle butikker
  371501;Kan bestilles til alle butikker
  374606;Kan bestilles til alle butikker
  376002;Kan bestilles til alle butikker
  376401;Kan bestilles til alle butikker
  376901;Kan bestilles til alle butikker
  378801;Kan bestilles til alle butikker
  379701;Kan bestilles til alle butikker
  379801;Kan bestilles til alle butikker
  380601;Kan bestilles til alle butikker
  382001;Kan bestilles til alle butikker
  382201;Kan bestilles til alle butikker
  383701;Kan bestilles til alle butikker
  393506;Kan bestilles til alle butikker
  393601;: Ikke på lager - kan bestilles
  393701;Kan bestilles til alle butikker
  393806;Kan bestilles til alle butikker
  400701;Utsolgt i alle butikker - kan ikke bestilles
  400901;Utsolgt i alle butikker - kan ikke bestilles
  401501;Kan kjøpes i butikk med varen på lager
  401601;Utsolgt i alle butikker - kan ikke bestilles
  401701;Kan bestilles til alle butikker
  404001;Kan bestilles til alle butikker
  406301;Kan bestilles til alle butikker
  411201;Kan bestilles til alle butikker
  412401;Kan bestilles til alle butikker
  412701;Kan bestilles til alle butikker
  413301;Kan bestilles til alle butikker
  413401;Utsolgt i alle butikker - kan ikke bestilles
  413701;Kan bestilles til alle butikker
  413801;Kan bestilles til alle butikker
  416101;Kan bestilles til alle butikker
  417201;Kan bestilles til alle butikker
  418001;Kan bestilles til alle butikker
  424001;Kan bestilles til alle butikker
  425101;Kan bestilles til alle butikker
  430101;Utsolgt i alle butikker - kan ikke bestilles
  431701;Kan bestilles til alle butikker
  431801;Kan bestilles til alle butikker
  432201;Utsolgt i alle butikker - kan ikke bestilles
  432301;Kan bestilles til alle butikker
  432401;Kan bestilles til alle butikker
  432601;Kan bestilles til alle butikker
  432906;Kan bestilles til alle butikker
  433301;Kan kjøpes i butikk med varen på lager
  434001;Kan bestilles til alle butikker
  434201;Utsolgt i alle butikker - kan ikke bestilles
  435801;Kan bestilles til alle butikker
  436006;Kan bestilles til alle butikker
  436501;Kan bestilles til alle butikker
  436801;Kan bestilles til alle butikker
  437101;Kan bestilles til alle butikker
  437301;Utsolgt i alle butikker - kan ikke bestilles
  437401;Utsolgt i alle butikker - kan ikke bestilles
  437901;Kan bestilles til alle butikker
  438006;Kan bestilles til alle butikker
  438801;Utsolgt i alle butikker - kan ikke bestilles
  439801;Kan bestilles til alle butikker
  440101;Kan bestilles til alle butikker
  440201;Kan bestilles til alle butikker
  440308;Kan bestilles til alle butikker
  440408;Kan bestilles til alle butikker
  441101;Kan bestilles til alle butikker
  446301;Kan bestilles til alle butikker
  446701;Kan bestilles til alle butikker
  447401;Kan bestilles til alle butikker
  447701;Kan bestilles til alle butikker
  449701;Kan bestilles til alle butikker
  450001;Kan bestilles til alle butikker
  452601;Utsolgt i alle butikker - kan ikke bestilles
  454901;Kan bestilles til alle butikker
  456905;Kan bestilles til alle butikker
  457001;Kan bestilles til alle butikker
  457101;Kan bestilles til alle butikker
  457501;Kan bestilles til alle butikker
  460201;Kan bestilles til alle butikker
  460901;Kan bestilles til alle butikker
  461101;Kan bestilles til alle butikker
  461701;Utsolgt i alle butikker - kan ikke bestilles
  468501;Kan bestilles til alle butikker
  471901;Utsolgt i alle butikker - kan ikke bestilles
  472701;Kan bestilles til alle butikker
  472801;Kan bestilles til alle butikker
  475206;Kan bestilles til alle butikker
  477202;Kan kjøpes i butikk med varen på lager
  477401;Kan bestilles til alle butikker
  477701;Kan bestilles til alle butikker
  480701;Kan kjøpes i butikk med varen på lager
  481502;Utsolgt i alle butikker - kan ikke bestilles
  484101;Kan bestilles til alle butikker
  484601;Kan bestilles til alle butikker
  484701;Kan bestilles til alle butikker
  485001;Utsolgt i alle butikker - kan ikke bestilles
  485401;Kan bestilles til alle butikker
  485501;Kan bestilles til alle butikker
  485601;Kan bestilles til alle butikker
  485701;Kan bestilles til alle butikker
  485801;Kan bestilles til alle butikker
  485901;Kan bestilles til alle butikker
  486001;Kan bestilles til alle butikker
  486906;Kan bestilles til alle butikker
  488901;Kan bestilles til alle butikker
  489304;Kan bestilles til alle butikker
  489401;Kan bestilles til alle butikker
  490001;Kan bestilles til alle butikker
  490101;Kan bestilles til alle butikker
  490601;Kan bestilles til alle butikker
  492901;Kan bestilles til alle butikker
  493101;Kan bestilles til alle butikker
  493201;Kan bestilles til alle butikker
  493301;Kan bestilles til alle butikker
  493501;Kan bestilles til alle butikker
  493701;Kan bestilles til alle butikker
  494601;Kan kjøpes i butikk med varen på lager
  494701;Kan bestilles til alle butikker
  495501;Kan bestilles til alle butikker
  495601;Utgått - kan ikke bestilles
  495801;Kan bestilles til alle butikker
  496801;Kan kjøpes i butikk med varen på lager
  499601;Kan bestilles til alle butikker
  499901;Utsolgt i alle butikker - kan ikke bestilles
  500001;Kan bestilles til alle butikker
  501106;Kan bestilles til alle butikker
  501801;Kan bestilles til alle butikker
  502901;Kan bestilles til alle butikker
  503201;Kan kjøpes i butikk med varen på lager
  503301;Utsolgt i alle butikker - kan ikke bestilles
  505901;Utsolgt i alle butikker - kan ikke bestilles
  506801;Kan bestilles til alle butikker
  507001;Kan bestilles til alle butikker
  507301;Kan kjøpes i butikk med varen på lager
  507401;Kan bestilles til alle butikker
  507901;Kan bestilles til alle butikker
  508001;Kan bestilles til alle butikker
  508501;Kan bestilles til alle butikker
  509401;Kan bestilles til alle butikker
  509601;Kan bestilles til alle butikker
  509701;Kan bestilles til alle butikker
  510501;Kan kjøpes i butikk med varen på lager
  511501;Kan bestilles til alle butikker
  511901;Kan bestilles til alle butikker
  512301;Kan bestilles til alle butikker
  513001;Kan bestilles til alle butikker
  513101;Kan kjøpes i butikk med varen på lager
  514201;Kan bestilles til alle butikker
  514807;Kan bestilles til alle butikker
  516801;Kan bestilles til alle butikker
  517801;Kan bestilles til alle butikker
  517901;Kan bestilles til alle butikker
  518506;Kan bestilles til alle butikker
  518708;Kan bestilles til alle butikker
  520001;Kan bestilles til alle butikker
  520301;Kan bestilles til alle butikker
  520302;Kan bestilles til alle butikker
  520401;Kan kjøpes i butikk med varen på lager
  520601;Utsolgt i alle butikker - kan ikke bestilles
  520801;Kan bestilles til alle butikker
  521801;Kan bestilles til alle butikker
  522001;Kan bestilles til alle butikker
  522101;Kan bestilles til alle butikker
  524301;Kan bestilles til alle butikker
  527401;Kan bestilles til alle butikker
  527501;Kan kjøpes i butikk med varen på lager
  527601;Kan bestilles til alle butikker
  528101;Kan bestilles til alle butikker
  528201;Kan bestilles til alle butikker
  529105;Kan bestilles til alle butikker
  529201;Kan bestilles til alle butikker
  529401;Utsolgt i alle butikker - kan ikke bestilles
  529501;Kan bestilles til alle butikker
  530101;Kan kjøpes i butikk med varen på lager
  530706;Kan bestilles til alle butikker
  531101;Kan bestilles til alle butikker
  531201;Kan bestilles til alle butikker
  533001;Kan kjøpes i butikk med varen på lager
  533301;Utsolgt i alle butikker - kan ikke bestilles
  533801;Utsolgt i alle butikker - kan ikke bestilles
  533901;Kan bestilles til alle butikker
  534001;Kan bestilles til alle butikker
  534402;Utsolgt i alle butikker - kan ikke bestilles
  534601;Utsolgt i alle butikker - kan ikke bestilles
  534701;Kan bestilles til alle butikker
  534801;Kan bestilles til alle butikker
  540001;Kan bestilles til alle butikker
  540201;Kan bestilles til alle butikker
  540401;Kan bestilles til alle butikker
  540501;Kan bestilles til alle butikker
  540601;Kan bestilles til alle butikker
  540701;Kan bestilles til alle butikker
  542101;Kan bestilles til alle butikker
  542401;Kan bestilles til alle butikker
  542802;Kan bestilles til alle butikker
  543801;Utsolgt i alle butikker - kan ikke bestilles
  544801;Utsolgt i alle butikker - kan ikke bestilles
  545901;Kan bestilles til alle butikker
  546502;Kan bestilles til alle butikker
  546602;Kan kjøpes i butikk med varen på lager
  547901;Kan bestilles til alle butikker
  549301;Kan bestilles til alle butikker
  550601;Kan kjøpes i butikk med varen på lager
  552201;Kan kjøpes i butikk med varen på lager
  553801;Kan bestilles til alle butikker
  553901;Kan bestilles til alle butikker
  555101;Kan bestilles til alle butikker
  555201;Kan bestilles til alle butikker
  558201;Kan bestilles til alle butikker
  558302;Kan bestilles til alle butikker
  561201;Kan bestilles til alle butikker
  561301;Kan bestilles til alle butikker
  562601;Kan bestilles til alle butikker
  563301;Kan bestilles til alle butikker
  563605;Kan bestilles til alle butikker
  563701;Kan bestilles til alle butikker
  564601;Utsolgt i alle butikker - kan ikke bestilles
  566401;Kan bestilles til alle butikker
  568101;Kan bestilles til alle butikker
  568701;Kan bestilles til alle butikker
  569201;Kan bestilles til alle butikker
  570401;Kan bestilles til alle butikker
  571701;Kan bestilles til alle butikker
  571801;Kan bestilles til alle butikker
  572001;Utsolgt i alle butikker - kan ikke bestilles
  572201;Kan bestilles til alle butikker
  572501;Kan bestilles til alle butikker
  575101;Kan bestilles til alle butikker
  575102;Kan bestilles til alle butikker
  575201;Kan bestilles til alle butikker
  575901;Kan bestilles til alle butikker
  576501;Kan bestilles til alle butikker
  576601;Kan bestilles til alle butikker
  576801;Kan bestilles til alle butikker
  582401;Kan bestilles til alle butikker
  589201;Kan bestilles til alle butikker
  590001;Kan bestilles til alle butikker
  590601;Kan bestilles til alle butikker
  590701;Kan bestilles til alle butikker
  590801;Kan bestilles til alle butikker
  591901;Kan bestilles til alle butikker
  591905;Kan bestilles til alle butikker
  592001;Utsolgt i alle butikker - kan ikke bestilles
  592005;Kan bestilles til alle butikker
  595401;Kan bestilles til alle butikker
  596601;Kan bestilles til alle butikker
  598401;Kan bestilles til alle butikker
  598801;Kan kjøpes i butikk med varen på lager
  600101;Kan bestilles til alle butikker
  602801;Kan bestilles til alle butikker
  603301;Kan bestilles til alle butikker
  603401;Kan bestilles til alle butikker
  603601;Kan bestilles til alle butikker
  603701;Kan bestilles til alle butikker
  604306;Utsolgt i alle butikker - kan ikke bestilles
  604801;Kan bestilles til alle butikker
  605001;Kan bestilles til alle butikker
  605101;Utsolgt i alle butikker - kan ikke bestilles
  605301;Kan kjøpes i butikk med varen på lager
  611601;: 74 i butikken - flere kan bestilles
  611605;Kan bestilles til alle butikker
  611701;Kan bestilles til alle butikker
  611705;Kan bestilles til alle butikker
  611901;Kan bestilles til alle butikker
  613501;Kan bestilles til alle butikker
  614501;Kan bestilles til alle butikker
  614601;Kan bestilles til alle butikker
  614706;Kan bestilles til alle butikker
  615001;Kan bestilles til alle butikker
  615301;Kan bestilles til alle butikker
  615401;Kan bestilles til alle butikker
  618701;Kan bestilles til alle butikker
  620302;Kan kjøpes i butikk med varen på lager
  620501;Kan kjøpes i butikk med varen på lager
  621301;Kan bestilles til alle butikker
  621501;Kan bestilles til alle butikker
  621801;Kan bestilles til alle butikker
  623201;Kan bestilles til alle butikker
  623301;Kan kjøpes i butikk med varen på lager
  623501;Kan bestilles til alle butikker
  623705;Kan bestilles til alle butikker
  623801;Kan bestilles til alle butikker
  624001;Utsolgt i alle butikker - kan ikke bestilles
  624501;Kan bestilles til alle butikker
  624701;Kan bestilles til alle butikker
  625601;Kan kjøpes i butikk med varen på lager
  625801;Kan bestilles til alle butikker
  626406;Kan bestilles til alle butikker
  626601;Kan bestilles til alle butikker
  627001;Kan bestilles til alle butikker
  628901;Kan bestilles til alle butikker
  629001;Kan bestilles til alle butikker
  629901;Kan bestilles til alle butikker
  629905;Kan bestilles til alle butikker
  630604;Kan bestilles til alle butikker
  631101;Kan bestilles til alle butikker
  631301;Kan bestilles til alle butikker
  631305;Kan bestilles til alle butikker
  632001;Kan bestilles til alle butikker
  632201;Kan bestilles til alle butikker
  633105;Kan bestilles til alle butikker
  635701;Kan kjøpes i butikk med varen på lager
  635801;Kan bestilles til alle butikker
  635802;Kan bestilles til alle butikker
  635805;Kan bestilles til alle butikker
  636101;Kan bestilles til alle butikker
  639201;Kan bestilles til alle butikker
  639206;Kan bestilles til alle butikker
  642401;Kan bestilles til alle butikker
  643901;Kan bestilles til alle butikker
  647101;Kan kjøpes i butikk med varen på lager
  647901;Kan bestilles til alle butikker
  648001;Utsolgt i alle butikker - kan ikke bestilles
  648501;Kan bestilles til alle butikker
  648701;Kan bestilles til alle butikker
  649801;Utsolgt i alle butikker - kan ikke bestilles
  650005;Kan bestilles til alle butikker
  650401;Kan bestilles til alle butikker
  650601;Kan bestilles til alle butikker
  650901;Kan bestilles til alle butikker
  651201;Kan bestilles til alle butikker
  651601;Kan bestilles til alle butikker
  652301;Kan bestilles til alle butikker
  652601;Kan bestilles til alle butikker
  655401;Kan bestilles til alle butikker
  659001;: 4 i butikken - flere kan bestilles
  659002;Kan bestilles til alle butikker
  659005;Kan bestilles til alle butikker
  659007;Kan bestilles til alle butikker
  659601;Kan bestilles til alle butikker
  661401;Kan bestilles til alle butikker
  661406;Kan bestilles til alle butikker
  662701;Kan bestilles til alle butikker
  663601;Kan bestilles til alle butikker
  665001;Kan bestilles til alle butikker
  666201;Kan bestilles til alle butikker
  668001;Kan bestilles til alle butikker
  668002;Kan bestilles til alle butikker
  668401;Kan bestilles til alle butikker
  668501;Kan bestilles til alle butikker
  668701;Kan bestilles til alle butikker
  668801;Kan bestilles til alle butikker
  668901;Kan bestilles til alle butikker
  670904;Kan bestilles til alle butikker
  671201;Kan kjøpes i butikk med varen på lager
  671301;Kan kjøpes i butikk med varen på lager
  672201;Kan bestilles til alle butikker
  672701;Kan bestilles til alle butikker
  672702;Kan bestilles til alle butikker
